Recom1,Recom2,Recom3,Recom4,Recom5
14.0,1.7,4.2,Sem Foto,
13.3,6.4,9.0,12.3,
1.7,Sem Foto,38.9,,
2.5,1.6,2.7,2.5,2.7
3.9,5.3,1.5,8.2,8.2
6.6,6.4,6.4,2.5,10.9
11.9,7.4,38.9,,
3.7,3.5,5.9,,
3.5,1.7,Sem Foto,,
39.4,24.9,14.5,11.9,29.9
1.6,15.9,16.5,,
5.3,1.5,8.2,8.2,13.9
11.9,8.7,7.4,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
3.9,1.7,1.9,,
6.4,7.4,1.7,,
13.9,24.9,1.7,,
1.5,8.2,8.2,13.9,5.3
16.6,12.9,13.9,16.4,
3.7,3.5,5.9,,
1.6,3.7,7.4,3.5,
2.5,2.5,2.5,2.5,
13.5,5.3,8.2,13.9,
28.9,27.7,46.5,21.5,
13.9,5.7,2.7,17.8,13.9
3.0,11.9,12.9,3.0,17.0
39.4,26.4,12.9,13.5,3.0
27.3,29.5,24.9,2.7,
3.7,3.5,5.9,,
2.5,2.5,2.5,,
5.3,1.9,8.2,8.2,13.9
28.9,27.1,26.9,27.1,35.9
3.7,3.5,5.9,,
2.5,2.5,3.7,,
13.5,13.9,6.4,13.5,7.4
30.2,26.9,29.2,26.9,25.9
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
11.3,7.4,,,
28.6,13.5,6.3,1.7,
16.5,13.9,3.7,3.5,
13.5,1.7,4.2,Sem Foto,
17.5,17.4,6.6,13.9,15.5
3.7,3.5,5.9,,
28.9,28.1,27.1,1.8,1.8
11.9,10.9,10.9,12.3,
6.4,7.4,1.7,4.2,
5.7,3.7,3.5,,
35.9,3.0,3.0,1.6,2.7
2.5,2.5,13.5,2.5,
1.8,1.8,1.8,1.8,
14.0,24.9,1.7,Sem Foto,
6.4,3.0,3.0,3.7,3.5
13.5,27.1,16.6,35.9,30.9
14.0,8.7,24.9,8.7,
3.9,1.7,Sem Foto,,
1.8,1.8,1.8,1.8,
13.5,8.7,8.7,1.9,
39.4,27.3,1.6,,
2.5,46.5,26.9,,
13.9,8.9,8.9,,
26.9,39.4,39.4,27.1,13.5
1.8,1.8,1.8,1.8,
15.5,1.7,Sem Foto,3.1,
2.5,2.5,3.9,1.6,3.1
2.8,1.6,3.9,,
26.9,5.3,1.5,8.2,8.2
10.9,2.7,16.9,1.9,
15.4,1.7,Sem Foto,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
38.9,1.7,Sem Foto,,
28.1,27.1,30.9,35.9,
3.0,3.0,24.9,2.5,2.5
1.7,4.2,Sem Foto,,
26.9,27.1,3.0,3.0,3.0
37.6,37.6,2.5,2.5,
6.4,6.6,1.7,,
12.9,19.5,28.7,25.9,26.9
1.7,4.2,Sem Foto,,
38.4,35.9,24.9,29.9,
1.7,4.2,Sem Foto,,
13.5,13.5,1.8,1.6,
9.9,8.7,8.7,,
17.0,3.7,1.9,,
40.5,39.4,34.3,27.3,
14.0,14.5,11.9,,
9.9,1.7,Sem Foto,,
12.3,3.0,11.9,3.0,10.9
30.2,29.2,26.8,16.4,
27.1,27.1,35.9,30.9,1.7
1.5,1.8,1.8,,
3.7,3.5,5.9,,
9.9,12.3,8.9,8.7,8.7
14.5,10.9,35.9,,
26.9,26.9,9.9,,
1.6,12.3,1.8,1.8,
27.1,27.1,18.3,35.9,1.7
8.7,3.0,3.0,,
40.5,11.9,35.9,,
1.7,9.9,Sem Foto,,
1.7,4.2,Sem Foto,,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
28.1,27.1,30.9,35.9,
12.5,13.5,18.3,,
13.9,8.9,17.8,,
11.9,12.5,7.4,,
1.9,38.9,1.7,,
13.9,17.8,13.9,,
3.9,1.7,4.2,Sem Foto,
13.9,17.8,13.9,1.9,
13.5,20.8,24.9,13.9,
1.8,1.8,1.8,1.8,
28.9,27.7,21.5,,
3.7,5.9,1.9,,
3.0,3.0,3.0,,
1.7,4.2,Sem Foto,,
6.6,5.3,1.5,8.2,
39.4,39.4,12.9,24.9,
27.9,25.9,16.4,,
27.1,35.9,30.9,9.9,
28.9,27.1,27.7,21.5,
8.7,1.7,Sem Foto,,
Sem Foto,13.9,17.8,13.9,
28.1,6.4,27.1,9.0,
1.6,1.8,1.8,1.8,
13.5,27.9,25.9,,
17.0,3.7,10.45,1.6,
5.3,1.5,8.2,8.2,13.9
1.7,4.2,Sem Foto,,
15.0,1.5,8.2,,
7.4,17.9,1.7,4.2,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
24.9,40.5,24.9,5.3,1.5
2.1,26.9,3.9,,
27.1,35.9,30.9,1.7,
12.3,3.0,13.5,,
30.2,29.2,13.5,12.9,
5.3,1.5,1.9,8.2,
1.8,1.8,1.8,,
8.7,,13.5,13.5,
3.7,3.5,5.9,3.9,
1.6,3.5,5.9,,
10.9,17.8,13.9,14.0,
10.9,10.9,13.5,13.5,1.6
28.9,27.7,26.4,,
28.9,27.1,26.9,27.1,35.9
39.4,34.3,27.3,3.1,
15.9,16.5,1.9,,
28.9,27.7,21.5,,
,2.5,2.5,,
13.3,12.5,9.9,,
2.5,2.5,2.5,38.9,
13.9,17.8,13.9,,
1.7,4.2,Sem Foto,,
12.5,4.2,3.9,,
2.5,9.9,1.9,,
12.3,2.5,2.5,1.6,
13.5,11.9,24.9,28.1,28.9
26.9,4.2,1.9,,
1.7,4.2,Sem Foto,,
15.0,2.6,4.5,3.1,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
30.2,29.2,25.9,,
27.9,25.9,8.9,1.6,
14.5,1.6,3.1,1.5,1.7
1.8,10.3,1.8,1.8,
2.8,1.6,3.9,,
28.1,26.9,27.1,30.9,3.7
28.7,25.9,29.5,34.1,2.5
1.6,1.5,1.7,,
27.1,27.1,35.9,30.9,
3.7,3.5,5.9,3.1,1.9
3.1,1.7,Sem Foto,,
17.5,32.5,38.9,,
28.9,39.4,30.2,39.4,29.2
28.9,17.4,28.1,27.1,15.5
3.7,3.5,5.9,1.9,
2.7,3.9,17.9,,
1.7,Sem Foto,3.1,,
18.3,1.9,1.7,,
3.7,3.5,5.9,,
49.9,17.8,13.9,,
3.7,3.5,5.9,,
28.1,13.5,27.1,27.1,30.9
5.3,1.5,8.2,13.9,5.3
28.9,28.1,27.1,27.1,35.9
23.9,5.3,1.5,8.2,13.9
36.9,2.5,9.0,,
1.7,Sem Foto,3.1,,
26.9,39.4,39.4,35.9,1.6
1.7,4.2,Sem Foto,,
3.1,1.9,3.1,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
27.3,24.9,37.9,28.4,
3.7,3.5,5.9,,
11.9,3.0,3.0,3.0,2.5
9.0,3.5,5.9,,
26.9,13.5,1.7,4.2,
6.6,13.5,6.6,3.7,
13.5,2.7,17.8,13.9,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
42.2,6.6,28.9,13.5,
1.7,4.2,Sem Foto,,
1.7,Sem Foto,3.1,,
6.6,1.7,Sem Foto,,
8.9,1.6,1.8,1.8,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
2.5,2.5,1.7,,
5.3,8.2,8.2,,
1.7,4.2,Sem Foto,,
28.9,27.7,21.5,5.3,
1.8,1.8,1.8,13.9,
1.7,4.2,Sem Foto,,
2.8,18.9,1.6,17.8,2.5
1.7,4.2,Sem Foto,,
10.9,24.9,13.5,18.3,
1.7,Sem Foto,3.1,,
3.7,3.5,5.9,,
2.1,13.5,27.1,35.9,30.9
15.9,13.9,5.3,1.5,
10.7,2.5,2.5,1.8,1.8
1.7,Sem Foto,3.1,,
11.9,2.5,2.5,1.6,
10.9,14.5,11.9,5.3,
27.3,39.5,24.9,7.4,
1.5,17.9,8.2,8.2,13.9
13.5,27.3,24.9,,
15.0,17.8,13.9,,
13.9,1.7,4.2,,
29.8,28.7,25.9,28.9,29.5
16.4,9.9,1.7,Sem Foto,
29.5,11.9,24.9,2.7,15.9
2.5,3.0,3.0,9.0,2.5
14.5,10.9,10.9,7.4,
28.1,27.1,27.1,30.9,
28.1,27.1,30.9,35.9,
16.6,4.5,3.9,1.9,
25.9,41.5,25.9,1.9,
13.5,42.2,37.6,13.5,
28.7,26.9,29.5,27.1,
15.0,2.7,1.7,Sem Foto,
1.7,4.2,Sem Foto,,
5.3,1.5,8.2,8.2,13.9
11.9,14.0,16.6,7.4,
40.5,34.1,35.9,37.9,28.4
1.7,4.2,Sem Foto,,
11.9,13.5,6.3,,
2.7,1.8,1.8,2.7,
2.5,2.7,27.1,2.5,35.9
14.9,8.7,11.9,,
9.9,28.9,27.7,21.5,
3.7,3.5,5.9,,
28.9,2.5,28.1,,
3.7,3.5,5.9,,
5.3,8.2,8.2,13.9,
25.9,39.4,29.5,1.6,
13.5,13.5,13.5,17.8,13.9
11.9,13.5,17.9,,
13.5,1.7,4.2,Sem Foto,
1.4,1.5,2.5,2.5,2.5
21.5,24.9,9.9,,
3.0,3.0,7.4,,
28.7,26.9,29.5,,
11.9,10.45,2.7,2.7,1.6
24.9,29.9,1.6,1.9,
28.9,27.7,21.5,,
28.9,27.7,26.4,,
16.5,13.9,1.7,Sem Foto,
1.6,1.7,Sem Foto,,
3.7,3.5,5.9,,
5.7,2.5,1.6,2.5,
2.5,2.5,1.7,4.2,Sem Foto
12.5,16.4,10.3,,
30.2,29.2,26.8,,
16.4,16.5,13.9,,
15.0,2.7,2.7,,
1.7,Sem Foto,3.1,,
3.9,14.0,1.7,,
28.9,28.1,27.1,,
29.5,27.1,26.9,26.9,2.5
2.7,1.7,Sem Foto,4.2,
1.7,Sem Foto,4.2,,
17.5,28.9,28.1,5.7,
24.9,3.7,3.5,5.9,14.0
13.5,12.9,38.9,,
16.4,3.9,1.7,Sem Foto,
3.7,3.5,5.9,,
17.4,30.2,29.2,26.8,2.5
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
12.3,3.9,9.9,,
28.1,27.1,12.9,27.1,30.9
14.0,3.1,1.9,,
40.5,11.9,35.9,7.4,3.9
2.7,13.9,2.7,,
13.5,1.6,16.9,1.9,
10.9,17.0,14.5,11.9,
2.5,5.3,1.5,8.2,8.2
1.8,1.8,1.8,1.8,
40.5,27.7,2.8,26.4,39.4
6.6,25.9,14.5,1.6,11.9
3.7,5.9,1.7,Sem Foto,
2.5,2.5,12.9,,
29.2,26.8,25.9,,
12.9,5.7,3.7,,
1.7,4.2,Sem Foto,,
10.9,12.9,9.9,,
27.1,35.9,30.9,,
10.9,1.7,Sem Foto,,
30.2,29.2,26.8,46.5,
12.5,3.9,1.9,17.9,
27.9,39.4,27.3,25.9,24.9
13.5,2.7,3.9,,
10.45,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
26.9,23.9,1.7,,
38.4,35.9,29.9,,
12.9,2.5,2.5,2.5,2.5
9.8,13.5,13.5,28.1,14.9
13.9,16.4,17.9,,
28.9,26.9,29.5,28.1,1.6
30.2,29.2,27.9,25.9,25.9
5.7,3.7,1.9,,
41.5,24.9,2.8,2.7,
39.4,27.3,39.4,,
3.7,3.5,5.9,,
28.7,25.9,26.9,1.9,
3.7,3.5,5.9,,
34.1,12.5,11.9,,
13.5,27.1,10.45,27.1,
27.9,14.5,14.5,12.9,11.9
34.1,37.9,28.4,,
28.4,8.7,8.7,2.6,4.5
13.3,1.6,1.9,,
13.9,1.5,1.9,,
5.7,16.9,1.7,Sem Foto,
49.9,3.7,3.5,5.9,
2.7,2.5,2.7,,
6.6,8.7,8.7,,
3.7,3.5,5.9,,
13.5,13.5,14.0,2.5,
8.7,8.7,1.9,,
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
3.0,8.9,8.9,2.5,
27.3,13.5,24.9,,
11.9,11.9,1.8,10.3,
3.7,3.5,5.9,,
5.7,1.7,4.2,Sem Foto,
10.9,3.7,3.5,5.9,
5.3,1.5,8.2,13.9,
2.7,13.9,2.7,1.9,
25.9,13.5,27.1,,
13.9,1.7,4.2,Sem Foto,
3.7,14.0,1.9,,
26.9,26.9,17.9,,
3.7,3.5,5.9,,
13.9,17.8,13.9,38.9,
24.9,13.5,1.8,1.8,
24.9,28.9,27.7,24.9,21.5
38.4,41.5,35.9,13.5,6.6
1.8,1.8,1.8,1.8,1.8
13.5,24.9,1.6,1.8,
14.5,13.5,3.7,,
3.7,1.7,4.2,Sem Foto,
12.3,12.3,1.4,1.5,
3.7,3.5,5.9,,
10.9,3.0,3.0,1.6,
25.9,25.9,1.8,3.9,1.8
10.9,27.1,35.9,30.9,
1.8,1.8,1.8,1.8,1.8
39.4,27.3,39.4,,
3.7,16.9,5.3,1.5,
13.5,10.9,7.4,14.0,1.9
1.6,1.7,Sem Foto,,
2.5,2.5,1.8,1.8,
6.4,,1.9,,
1.7,Sem Foto,3.1,,
28.6,40.5,42.2,39.5,
30.2,28.9,29.2,27.7,3.0
3.7,3.5,5.9,,
6.4,17.8,,38.9,
3.1,1.9,38.9,,
3.7,3.5,5.9,,
,1.7,4.2,Sem Foto,
16.4,2.5,2.5,2.5,
28.1,27.1,27.1,,
5.3,1.5,8.2,8.2,13.9
1.8,1.8,1.8,1.8,
27.7,26.4,21.5,1.9,
1.6,3.9,1.7,Sem Foto,
13.5,3.5,5.9,,
2.5,2.5,1.9,,
41.5,13.5,1.9,,
15.4,1.7,Sem Foto,38.9,
39.5,28.9,27.7,,
6.6,28.9,27.7,26.4,2.7
1.7,4.2,Sem Foto,,
1.6,3.9,1.9,17.9,
3.7,3.5,5.9,,
11.9,12.3,2.5,2.5,2.7
46.5,27.1,27.1,2.7,2.7
36.9,3.7,15.4,3.5,17.9
17.8,1.8,1.8,,
17.4,13.5,15.5,15.5,
3.7,3.5,5.9,,
5.3,1.5,8.2,8.2,13.9
13.5,12.9,12.9,15.0,13.9
3.1,1.9,38.9,,
13.5,41.5,2.1,13.5,1.4
3.7,3.5,5.9,,
2.5,2.5,2.5,2.5,
13.9,17.8,13.9,,
39.4,27.3,39.4,,
13.5,13.3,13.5,,
38.4,35.9,29.9,2.6,
34.1,24.9,28.4,2.5,2.5
27.7,26.4,21.5,,
24.9,8.9,24.9,1.7,
30.2,29.2,28.9,27.7,26.4
3.7,3.5,5.9,,
9.8,34.1,13.5,14.0,
3.7,3.5,5.9,,
6.4,13.5,2.5,1.7,
16.6,1.9,5.3,1.5,
2.5,2.5,2.5,,
39.4,27.3,39.4,,
3.7,3.5,5.9,,
2.5,1.6,2.5,1.8,
28.7,25.9,26.9,11.9,6.6
13.5,1.8,1.8,1.8,
14.5,1.9,38.9,,
8.7,27.1,2.5,2.5,
6.6,1.8,1.8,1.8,
13.5,13.5,11.9,,
6.6,24.9,8.7,8.7,
28.7,25.9,26.9,,
17.9,3.7,3.5,5.9,
1.8,1.8,1.8,,
13.5,17.9,1.9,,
26.4,21.5,27.1,27.1,35.9
28.9,28.1,27.1,,
27.1,27.1,35.9,30.9,
11.9,10.3,9.9,,
12.5,13.5,13.9,,
1.6,1.8,1.8,1.8,1.8
8.9,2.5,2.5,1.8,
26.8,41.5,25.9,1.6,13.5
36.9,12.0,34.3,12.9,
37.6,12.5,6.4,2.7,2.7
42.2,Sem Foto,25.9,25.9,8.9
29.2,26.8,25.9,,
28.1,27.1,27.1,30.9,35.9
13.5,3.7,3.5,5.9,
13.5,13.5,7.4,,
3.7,3.5,5.9,,
28.9,28.1,10.9,,
27.1,27.1,30.9,3.1,1.9
11.9,10.3,3.9,1.7,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
12.9,17.8,13.9,4.2,1.7
26.9,26.9,17.9,1.7,
9.9,10.9,13.5,,
17.4,24.9,24.9,1.6,17.8
26.9,34.1,26.9,,
8.7,6.3,8.7,13.5,1.9
13.9,2.5,2.5,,
14.5,3.0,3.0,7.4,
8.9,8.9,,,
13.5,12.9,1.7,4.2,
5.3,8.2,8.2,13.9,
25.9,13.5,2.1,25.9,8.9
10.9,13.5,15.29,13.5,
2.6,4.5,3.1,1.9,
28.1,27.1,27.1,30.9,35.9
1.7,Sem Foto,3.1,,
1.5,5.7,1.7,Sem Foto,
,5.3,1.7,8.2,
5.3,8.2,8.2,13.9,
13.5,10.9,1.9,,
3.5,25.9,13.9,,
11.3,15.0,8.9,,
8.7,19.5,26.4,34.1,
1.7,Sem Foto,3.1,,
15.4,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
2.7,3.1,1.9,,
8.7,3.7,3.5,5.9,
37.6,37.6,1.7,Sem Foto,
16.4,17.5,Sem Foto,1.8,1.8
13.5,2.5,2.5,,
24.9,13.5,13.9,3.9,
6.6,1.8,1.8,1.8,
6.6,41.5,2.1,14.9,
13.5,14.9,8.3,,
28.9,27.7,17.9,,
27.9,25.9,1.7,Sem Foto,
28.1,13.5,26.9,27.1,27.1
3.7,3.5,5.9,,
2.5,2.5,2.5,2.5,
12.3,1.6,1.7,,
30.2,29.2,2.8,25.9,
3.7,3.5,3.9,,
1.6,2.5,2.5,2.5,2.5
29.2,37.6,8.9,1.9,
1.7,4.2,Sem Foto,,
13.5,6.6,1.7,Sem Foto,
6.6,2.7,2.7,,
28.1,34.1,12.5,27.1,27.1
6.4,18.9,9.0,18.3,
1.8,1.8,15.4,,
2.5,2.5,2.5,2.5,
37.6,37.6,46.5,,
13.9,17.8,13.9,,
13.5,1.7,Sem Foto,,
1.6,14.0,1.5,,
17.4,15.5,1.9,,
3.0,3.0,11.9,,
19.5,39.5,6.4,8.3,
6.4,18.3,8.3,,
27.3,30.2,15.5,29.2,2.5
27.1,27.1,30.9,15.9,16.5
11.9,7.4,1.9,,
42.2,39.5,14.5,14.9,
1.7,4.2,Sem Foto,,
38.9,1.7,Sem Foto,,
18.3,4.5,1.9,,
3.7,3.5,5.9,,
24.9,1.6,1.5,1.7,
26.8,25.9,1.7,Sem Foto,
1.8,1.8,1.8,,
14.0,3.7,3.5,5.9,
1.7,4.2,Sem Foto,,
1.5,1.7,Sem Foto,3.1,
13.9,13.9,17.8,13.9,1.5
1.7,Sem Foto,3.1,,
11.9,1.8,1.8,7.4,
5.3,1.5,8.2,,
39.4,39.4,24.9,,
8.9,8.9,8.9,,
5.3,1.5,8.2,13.9,5.3
1.8,1.8,1.8,1.8,
34.1,9.9,1.6,2.1,2.8
28.1,34.1,27.1,27.1,30.9
5.3,8.2,8.2,13.9,
14.5,16.6,29.9,38.9,
27.1,27.1,35.9,30.9,
11.9,7.4,1.9,17.9,
6.4,24.9,7.4,15.9,16.5
3.7,3.5,5.9,,
14.5,14.5,11.9,16.9,
13.5,14.9,10.9,12.9,8.7
37.6,27.9,25.9,,
5.3,1.5,8.2,13.9,5.3
6.4,13.5,9.0,12.9,3.9
13.5,13.5,,,
15.29,20.8,1.8,1.8,
37.6,37.6,3.9,1.7,
11.9,5.3,1.5,8.2,8.2
38.9,1.7,Sem Foto,,
27.7,Sem Foto,25.9,11.9,13.5
28.1,27.1,30.9,35.9,
42.2,42.2,39.4,27.3,39.4
12.3,3.7,3.5,5.9,
1.7,4.2,Sem Foto,,
36.9,34.3,40.5,13.5,35.9
12.9,1.8,1.8,1.8,
28.1,29.1,21.5,27.1,27.1
34.1,3.0,3.0,9.9,
1.7,4.2,Sem Foto,,
13.9,13.9,5.3,1.5,1.9
3.7,3.5,5.9,,
27.9,21.5,25.9,8.7,
28.9,10.9,28.1,35.9,13.5
14.0,13.9,17.9,3.9,
1.5,3.7,1.7,Sem Foto,
3.7,3.5,5.9,,
17.0,2.5,2.5,17.9,3.1
13.9,28.1,12.5,2.5,3.5
10.9,17.8,13.9,,
42.2,42.2,35.9,29.9,
27.9,25.9,46.5,,
26.9,3.7,3.5,5.9,
49.9,18.3,3.7,3.5,5.9
17.5,9.0,1.6,,
9.0,8.3,3.1,3.9,
42.2,42.1,42.2,,
6.6,6.4,9.0,,
14.5,11.9,1.7,Sem Foto,
39.4,27.3,40.5,39.4,
41.5,2.5,3.0,3.0,
1.7,4.2,Sem Foto,,
27.7,26.4,21.5,,
3.7,3.5,5.9,,
1.6,3.7,1.7,Sem Foto,
28.9,27.7,21.5,,
1.7,Sem Foto,3.1,,
1.7,4.2,Sem Foto,,
23.5,13.5,20.8,,
1.7,4.2,Sem Foto,,
34.1,11.9,39.4,27.3,39.4
13.9,17.8,13.9,2.5,2.5
1.8,1.8,1.8,1.8,1.8
13.5,14.9,2.6,,
24.9,13.5,1.9,,
1.8,1.8,1.8,1.8,
39.4,27.3,39.4,27.1,35.9
1.8,1.8,1.8,1.8,
3.5,15.9,16.5,16.9,1.9
13.5,14.9,1.8,1.8,
13.5,13.5,2.7,,
1.8,1.8,1.8,,
17.5,13.9,1.8,,
16.4,3.7,3.5,5.9,1.9
20.8,1.7,Sem Foto,4.2,
13.3,30.2,29.2,25.9,13.9
1.7,4.2,Sem Foto,,
11.9,3.7,7.4,3.5,5.9
13.5,37.9,24.9,1.7,
1.5,8.2,8.2,13.9,5.3
2.7,5.3,8.2,,
28.1,10.9,2.1,2.8,
3.7,3.5,5.9,,
9.0,5.7,16.4,5.3,
13.9,13.9,1.9,,
2.7,1.7,38.9,,
49.9,12.5,24.9,1.8,
2.5,2.5,2.5,,
13.5,28.9,14.9,27.7,21.5
10.9,5.3,1.5,,
24.9,2.5,2.5,2.5,2.5
10.9,8.7,46.5,18.9,
2.5,2.5,2.5,,
15.0,16.9,9.9,,
24.9,3.7,3.5,3.1,5.9
3.7,3.5,5.9,,
2.5,2.5,2.5,,
10.9,14.9,13.5,10.9,17.0
1.8,1.8,1.8,1.8,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
15.0,1.8,1.8,,
3.7,3.5,5.9,,
2.5,24.9,2.5,2.5,
13.3,30.2,29.2,25.9,2.1
3.9,5.3,1.5,,
26.9,26.9,26.9,,
9.8,8.3,3.9,1.9,
13.5,13.5,1.6,7.4,1.9
12.9,13.5,1.7,,
8.9,8.9,2.5,1.6,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
1.4,1.5,1.7,Sem Foto,
13.5,16.9,17.9,,
3.7,1.7,4.2,Sem Foto,
28.9,27.7,26.4,3.7,3.5
8.1,6.6,13.5,,
14.9,3.1,1.9,,
17.5,14.5,8.9,2.5,
3.7,3.5,5.9,,
2.7,2.7,1.8,1.8,
3.0,3.0,3.0,,
13.5,2.5,2.5,2.5,2.5
11.9,12.5,1.6,7.4,
36.9,34.3,10.9,16.4,
27.1,13.9,27.1,35.9,
28.9,27.7,13.9,21.5,13.9
13.9,3.5,5.9,,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
14.5,11.9,3.7,3.5,5.9
39.4,39.4,1.6,,
28.1,6.6,27.1,30.9,35.9
28.9,17.4,26.9,15.5,35.9
4.2,1.9,1.5,,
38.4,35.9,29.9,,
16.6,5.3,1.5,8.2,
13.9,1.8,7.4,,
13.5,14.0,17.9,1.7,
1.7,38.9,Sem Foto,,
1.5,13.9,9.9,,
3.7,3.5,1.9,,
3.7,14.5,2.7,2.7,11.9
28.1,27.1,1.8,1.8,
30.2,29.2,26.8,,
3.7,3.5,5.9,,
13.9,2.7,2.7,,
1.8,1.8,2.7,1.8,
Sem Foto,9.9,12.5,3.7,
13.9,2.6,5.3,1.5,
1.6,4.2,1.5,,
13.5,24.9,10.9,1.9,
3.9,1.8,1.8,1.8,
13.5,30.2,29.2,26.8,
16.4,16.5,38.4,17.5,
12.5,14.0,12.5,1.8,
11.9,3.9,7.4,3.1,1.9
5.3,1.5,1.7,,
3.7,3.5,1.7,,
13.5,13.5,2.5,2.5,1.9
11.9,39.4,27.3,39.4,
16.4,3.9,1.9,,
36.9,36.9,27.3,24.9,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
12.5,3.9,5.3,1.5,8.2
5.3,1.5,8.2,8.2,13.9
13.5,13.5,3.9,,
8.9,8.9,16.4,1.9,
13.9,5.3,8.2,8.2,
27.7,10.9,26.4,,
6.4,6.4,1.7,3.1,
12.3,12.9,14.0,,
10.9,3.7,3.5,,
8.9,1.7,Sem Foto,,
13.9,17.8,13.9,,
38.9,1.7,Sem Foto,,
3.0,3.0,3.0,2.7,
1.5,1.7,4.2,Sem Foto,
15.9,16.5,17.9,,
5.3,1.5,8.2,8.2,13.9
38.4,29.9,9.9,,
1.6,1.7,4.2,Sem Foto,
30.2,27.7,34.1,12.5,6.6
14.5,13.9,11.9,2.7,1.6
1.7,4.2,Sem Foto,,
14.5,11.9,1.9,,
6.4,3.7,1.7,Sem Foto,
13.5,13.5,12.9,,
27.3,28.9,27.1,23.9,29.1
15.4,3.1,1.9,,
17.4,15.5,15.5,,
26.9,3.9,3.1,5.3,1.5
15.29,3.1,1.9,,
8.9,8.9,46.5,,
17.4,15.5,15.5,,
46.5,3.1,1.7,,
8.9,1.8,1.8,1.8,
24.9,2.5,2.5,,
41.5,2.1,6.6,,
14.5,13.9,26.9,13.9,1.9
3.7,3.5,5.9,,
14.5,13.5,1.6,11.9,
34.1,2.5,1.7,,
2.5,2.5,2.5,,
11.9,10.3,4.2,,
27.1,27.1,30.9,38.9,
13.5,1.7,4.2,Sem Foto,
13.5,13.5,13.9,13.9,3.9
13.5,13.5,1.7,4.2,
2.5,2.5,1.8,1.8,
3.7,3.5,5.9,,
24.9,3.7,1.7,,
28.9,27.7,13.5,24.9,21.5
17.4,10.9,12.3,15.5,7.4
32.9,14.5,18.9,,
1.5,8.2,8.2,5.3,5.3
12.3,24.9,1.7,,
11.9,15.4,7.4,,
32.5,30.2,29.2,25.9,
13.9,5.3,1.5,,
28.9,27.7,8.7,26.4,
30.2,29.2,26.8,38.9,
1.6,1.8,1.8,1.8,
26.9,27.1,26.9,6.4,26.9
1.6,1.8,1.8,1.8,
29.2,26.8,4.2,,
5.7,1.9,38.9,,
3.1,1.9,38.9,,
1.7,Sem Foto,3.1,,
1.8,1.8,1.8,,
28.1,27.1,30.9,35.9,
28.9,27.7,26.4,,
3.7,3.5,5.9,,
10.45,1.7,Sem Foto,,
1.7,4.2,Sem Foto,,
8.7,8.7,7.4,,
3.7,3.5,5.9,,
28.9,28.1,3.1,,
1.8,1.8,1.8,1.8,1.8
10.9,1.4,16.4,,
27.9,25.9,38.9,,
3.7,1.6,3.5,5.9,
10.9,16.4,,,
8.1,30.2,29.2,26.8,
42.2,42.2,39.4,27.3,39.4
6.6,3.1,38.9,,
3.7,3.5,5.9,,
24.9,6.3,2.5,2.5,
3.5,8.9,8.9,,
24.9,24.9,26.9,1.5,
8.7,8.7,8.7,,
2.5,15.0,1.5,2.5,1.6
14.9,5.3,1.5,8.2,
3.7,3.5,5.9,,
15.5,15.5,1.5,1.7,
42.2,28.9,12.5,42.2,3.0
46.6,28.1,27.1,27.1,30.9
26.8,11.9,2.5,2.5,2.5
28.9,11.9,28.1,,
11.9,1.4,6.6,1.5,
13.9,17.8,13.5,13.9,
3.1,1.7,Sem Foto,3.1,
6.4,8.9,8.9,1.7,
1.7,Sem Foto,3.1,,
1.8,1.8,1.8,,
1.5,8.2,8.2,13.9,5.3
3.7,3.5,5.9,,
3.7,3.5,5.9,3.9,
13.5,13.5,3.7,3.5,
29.2,27.9,28.9,25.9,27.7
16.4,12.9,3.1,1.9,
26.9,5.7,2.7,,
16.4,10.9,12.3,1.7,
28.9,6.6,27.1,30.9,
13.9,39.4,27.3,13.5,24.9
42.2,39.5,1.6,16.4,
14.0,1.7,Sem Foto,,
13.5,13.5,3.7,13.5,3.5
11.9,7.4,14.0,,
12.5,1.6,5.7,1.9,
1.7,4.2,Sem Foto,,
36.9,36.9,26.9,26.9,
1.7,4.2,Sem Foto,,
17.5,17.4,2.8,13.5,15.5
14.0,3.7,3.5,5.9,
1.7,Sem Foto,3.1,,
